"musicshow","id_artist","data"
"showchampion","26","2016-07-13"
"countdown","219","2016-07-14"
"musicbank","26","2016-07-15"
"musicbank","26","2016-07-15"
"inkigayo","219","2016-07-17"
"theshow","76","2016-07-19"
"showchampion","76","2016-07-20"
"countdown","76","2016-07-21"
"musicbank","76","2016-07-22"
"inkigayo","76","2016-07-24"
"theshow","67","2016-07-26"
"countdown","76","2016-07-28"
"musicbank","76","2016-07-29"
"inkigayo","76","2016-07-31"
"theshow","76","2016-08-02"
"countdown","76","2016-08-04"
"musicbank","219","2016-08-05"
"inkigayo","76","2016-08-07"
"theshow","76","2016-08-09"
"showchampion","76","2016-08-10"
"countdown","93","2016-08-11"
"musicbank","76","2016-08-12"
"inkigayo","93","2016-08-14"
"theshow","94","2016-08-16"
"showchampion","94","2016-08-17"
"countdown","94","2016-08-18"
"musicbank","94","2016-08-19"
"inkigayo","31","2016-08-21"
"theshow","215","2016-08-23"
"showchampion","215","2016-08-24"
"countdown","61","2016-08-25"
"musicbank","61","2016-08-26"
"inkigayo","61","2016-08-28"
"theshow","94","2016-08-30"
"showchampion","61","2016-08-31"
"countdown","61","2016-09-01"
"musicbank","61","2016-09-02"
"inkigayo","61","2016-09-04"
"theshow","215","2016-09-06"
"countdown","31","2016-09-08"
"inkigayo","31","2016-09-11"
"theshow","165","2016-09-13"
"countdown","165","2016-09-15"
"musicbank","132","2016-09-16"
"inkigayo","132","2016-09-18"
"theshow","165","2016-09-20"
"showchampion","165","2016-09-21"
"countdown","165","2016-09-22"
"musicbank","132","2016-09-23"
"inkigayo","165","2016-09-25"
"showchampion","132","2016-09-28"
"countdown","96","2016-09-29"
"musicbank","96","2016-09-30"
"inkigayo","96","2016-10-02"
"countdown","80","2016-10-06"
"musicbank","80","2016-10-07"
"inkigayo","80","2016-10-09"
"theshow","172","2016-10-11"
"countdown","172","2016-10-13"
"musicbank","172","2016-10-14"
"inkigayo","172","2016-10-16"
"theshow","80","2016-10-18"
"showchampion","40","2016-10-19"
"countdown","40","2016-10-20"
"musicbank","40","2016-10-21"
"inkigayo","40","2016-10-23"
"theshow","40","2016-10-25"
"showchampion","94","2016-10-26"
"countdown","94","2016-10-27"
"musicbank","40","2016-10-28"
"inkigayo","94","2016-10-30"
"theshow","208","2016-11-01"
"showchampion","208","2016-11-02"
"countdown","208","2016-11-03"
"musicbank","208","2016-11-04"
"inkigayo","208","2016-11-06"
"theshow","215","2016-11-08"
"countdown","208","2016-11-10"
"musicbank","208","2016-11-11"
"inkigayo","208","2016-11-13"
"theshow","62","2016-11-15"
"musicbank","208","2016-11-18"
"inkigayo","208","2016-11-20"
"theshow","22","2016-11-22"
"musicbank","208","2016-11-25"
"inkigayo","31","2016-11-27"
"theshow","138","2016-11-29"
"showchampion","119","2016-11-30"
"musicbank","208","2016-12-02"
"inkigayo","31","2016-12-04"
"theshow","23","2016-12-06"
"musicbank","23","2016-12-09"
"inkigayo","225","2016-12-11"
"showchampion","23","2016-12-14"
"countdown","171","2016-12-15"
"musicbank","171","2016-12-16"
"inkigayo","231","2016-12-18"
"showchampion","171","2016-12-21"
"countdown","28","2016-12-22"
"musicbank","28","2016-12-23"
"inkigayo","28","2016-12-25"
"musicbank","61","2016-12-30"
"inkigayo","28","2017-01-01"
"countdown","28","2017-01-05"
"musicbank","208","2017-01-06"
"inkigayo","28","2017-01-08"
"countdown","28","2017-01-12"
"musicbank","28","2017-01-13"
"inkigayo","173","2017-01-15"
"showchampion","16","2017-01-18"
"countdown","14","2017-01-19"
"musicbank","28","2017-01-20"
"inkigayo","173","2017-01-22"
"showchampion","16","2017-01-25"
"countdown","169","2017-01-26"
"musicbank","281","2017-01-27"
"inkigayo","94","2017-01-29"
"countdown","16","2017-02-02"
"musicbank","281","2017-02-03"
"inkigayo","545","2017-02-05"
"theshow","165","2017-02-07"
"showchampion","165","2017-02-08"
"countdown","165","2017-02-09"
"musicbank","165","2017-02-10"
"inkigayo","165","2017-02-12"
"theshow","149","2017-02-14"
"showchampion","165","2017-02-15"
"countdown","165","2017-02-16"
"musicbank","165","2017-02-17"
"inkigayo","165","2017-02-19"
"theshow","149","2017-02-21"
"showchampion","40","2017-02-22"
"countdown","40","2017-02-23"
"musicbank","40","2017-02-24"
"inkigayo","40","2017-02-26"
"theshow","149","2017-02-28"
"countdown","208","2017-03-02"
"musicbank","208","2017-03-03"
"inkigayo","208","2017-03-05"
"theshow","208","2017-03-07"
"showchampion","208","2017-03-08"
"countdown","200","2017-03-09"
"musicbank","200","2017-03-10"
"inkigayo","208","2017-03-12"
"theshow","76","2017-03-14"
"showchampion","38","2017-03-15"
"countdown","208","2017-03-16"
"musicbank","208","2017-03-17"
"inkigayo","208","2017-03-19"
"theshow","80","2017-03-21"
"showchampion","80","2017-03-22"
"countdown","80","2017-03-23"
"musicbank","80","2017-03-24"
"inkigayo","546","2017-03-26"
"theshow","86","2017-03-28"
"showchampion","86","2017-03-29"
"countdown","86","2017-03-30"
"musicbank","86","2017-03-31"
"inkigayo","86","2017-04-02"
"theshow","77","2017-04-04"
"showchampion","77","2017-04-05"
"musicbank","86","2017-04-07"
"inkigayo","98","2017-04-09"
"theshow","76","2017-04-11"
"showchampion","98","2017-04-12"
"countdown","217","2017-04-13"
"musicbank","86","2017-04-14"
"inkigayo","217","2017-04-16"
"theshow","255","2017-04-18"
"showchampion","255","2017-04-19"
"countdown","217","2017-04-20"
"musicbank","202","2017-04-21"
"musiccore","217","2017-04-22"
"inkigayo","217","2017-04-23"
"theshow","60","2017-04-25"
"showchampion","60","2017-04-26"
"countdown","98","2017-04-27"
"musicbank","125","2017-04-28"
"musiccore","98","2017-04-29"
"inkigayo","98","2017-04-30"
"theshow","60","2017-05-02"
"countdown","98","2017-05-04"
"musicbank","98","2017-05-05"
"musiccore","98","2017-05-06"
"inkigayo","98","2017-05-07"
"countdown","92","2017-05-11"
"musicbank","266","2017-05-12"
"musiccore","266","2017-05-13"
"inkigayo","98","2017-05-14"
"theshow","134","2017-05-16"
"showchampion","98","2017-05-17"
"countdown","158","2017-05-18"
"musicbank","98","2017-05-19"
"musiccore","266","2017-05-20"
"inkigayo","158","2017-05-21"
"theshow","215","2017-05-23"
"showchampion","208","2017-05-24"
"countdown","208","2017-05-25"
"musicbank","208","2017-05-26"
"musiccore","208","2017-05-27"
"inkigayo","208","2017-05-28"
"theshow","171","2017-05-30"
"showchampion","208","2017-05-31"
"countdown","208","2017-06-01"
"musicbank","171","2017-06-02"
"musiccore","208","2017-06-03"
"inkigayo","208","2017-06-04"
"showchampion","171","2017-06-07"
"countdown","86","2017-06-08"
"musicbank","208","2017-06-09"
"musiccore","86","2017-06-10"
"inkigayo","208","2017-06-11"
"theshow","171","2017-06-13"
"showchampion","171","2017-06-14"
"countdown","171","2017-06-15"
"musicbank","208","2017-06-16"
"musiccore","68","2017-06-17"
"inkigayo","68","2017-06-18"
"theshow","193","2017-06-20"
"showchampion","68","2017-06-21"
"countdown","148","2017-06-22"
"musicbank","417","2017-06-23"
"musiccore","68","2017-06-24"
"inkigayo","68","2017-06-25"
"theshow","138","2017-06-27"
"showchampion","138","2017-06-28"
"countdown","138","2017-06-29"
"musicbank","68","2017-06-30"
"musiccore","138","2017-07-01"
"inkigayo","31","2017-07-02"
"theshow","18","2017-07-04"
"showchampion","18","2017-07-05"
"countdown","138","2017-07-06"
"musicbank","138","2017-07-07"
"musiccore","18","2017-07-08"
"inkigayo","31","2017-07-09"
"theshow","18","2017-07-11"
"showchampion","18","2017-07-12"
"countdown","138","2017-07-13"
"musicbank","231","2017-07-14"
"musiccore","18","2017-07-15"
"inkigayo","31","2017-07-16"
"showchampion","165","2017-07-19"
"countdown","165","2017-07-20"
"musicbank","165","2017-07-21"
"musiccore","165","2017-07-22"
"inkigayo","165","2017-07-23"
"showchampion","61","2017-07-26"
"countdown","61","2017-07-27"
"musicbank","61","2017-07-28"
"inkigayo","61","2017-07-30"
"showchampion","61","2017-08-02"
"countdown","61","2017-08-03"
"musicbank","61","2017-08-04"
"musiccore","61","2017-08-05"
"inkigayo","61","2017-08-06"
"theshow","76","2017-08-08"
"showchampion","76","2017-08-09"
"countdown","61","2017-08-10"
"musicbank","76","2017-08-11"
"musiccore","61","2017-08-12"
"inkigayo","76","2017-08-13"
"showchampion","265","2017-08-16"
"countdown","265","2017-08-17"
"musicbank","265","2017-08-18"
"musiccore","265","2017-08-19"
"inkigayo","265","2017-08-20"
"theshow","265","2017-08-22"
"showchampion","265","2017-08-23"
