"id","id_parent","nome","vtype","vlink","id_artist","publishedon","views","likes","dislikes","lastupdate","recentviews","recentlikes","promoted","dead","promotedviews"
"2428","0","Ring Ring","main","xHCFLeei5Wg","285","2017-05-19","11752477","45335","3872","2020-05-03 17:43:02","4604","19","n","n","0"
"2429","0","Thumb Up","main","eToI-YtTiHM","285","2016-03-23","7437186","38181","2186","2020-05-03 17:44:01","3756","11","n","n","0"
"2430","0","The Moon Represents my Heart","main","yQxB1M0VZLU","285","2016-06-27","5053207","24589","1164","2020-05-03 14:49:02","2966","22","n","n","0"
"2432","0","Rewrite... If I can","main","YbbP3aUXif0","13","2018-02-09","3397602","43577","507","2020-05-03 14:50:02","276","0","n","n","0"
"2433","0","Re:flower #2","main","1_dT_sdwTbs","60","2018-02-12","609400","21106","79","2020-04-30 23:13:02","102","1","n","n","0"
"2434","0","Re:flower #1","main","J6N8jOxd-2c","60","2018-01-15","558254","24831","68","2020-04-30 23:14:02","96","2","n","n","0"
"2435","0","Will Be Fine","main","cWvE3P6AWSA","155","2018-02-13","3497330","12715","734","2020-05-03 17:44:01","329","2","n","n","0"
"2436","0","Nega Dola","main","pykyNOEVqCU","33","2018-01-31","5907995","154583","2763","2020-05-03 17:44:01","968","20","n","n","0"
"2437","0","Secret Garden","main","QIN5_tJRiyY","152","2018-01-09","14627572","175113","3253","2020-05-03 17:45:01","18183","277","n","n","0"
"2438","0","SObeR","main","DgT4CPv_CCE","281","2018-02-14","8426564","236451","8144","2020-05-03 17:45:01","4347","113","n","n","0"
"2439","0","Try my wings","main","94iYe9-eyHI","34","2018-02-18","218157","14374","63","2020-04-30 23:18:02","41","2","n","n","0"
"2440","0","Boss","main","0AUFyFEt35g","150","2018-02-18","114276274","1940735","19575","2020-05-03 01:05:01","121379","2116","n","n","0"
"2441","2514","Starry Night","duplicate","0FB2EoKTK_Q","138","2018-03-07","67247811","1113357","16214","2020-05-03 01:51:01","41642","720","n","n","0"
"2442","0","Star Wind Flower Sun","main","kLeBQWw11yw","138","2018-03-06","3236606","113743","665","2020-05-03 17:45:01","1760","54","n","n","0"
"2443","0","I.P.U.","main","2NlNEj2mCIg","265","2018-03-05","38245768","867199","17653","2020-05-03 03:15:02","9421","169","n","n","0"
"2444","0","Go","main","cD8SYW8rjaQ","149","2018-03-04","31532546","910250","6730","2020-05-03 01:28:30","45565","1151","n","n","0"
"2445","0","I Just","main","oCvw4ot1-k8","165","2018-02-28","5443863","318746","3768","2020-05-03 14:59:01","2366","75","n","n","0"
"2446","2454","Dreams Come True","duplicate","wu4fhBXWkAQ","218","2018-02-27","4212939","90653","2342","2020-05-03 17:46:02","1458","20","n","n","0"
"2447","4423","Mamma mia","duplicate","5XTbQ7NERhY","270","2018-02-26","1420506","77343","535","2020-05-03 17:46:02","715","30","n","n","0"
"2448","0","Brand New Girl (jp)","main","r1CMjQ0QJ1E","208","2018-02-22","31164661","425666","13303","2020-05-03 03:44:02","12877","165","n","n","0"
"2449","0","Touch","main","6sHIq41sI-w","148","2018-03-13","36688435","879203","6436","2020-05-03 01:34:02","46380","893","n","n","0"
"2450","0","No Answer","main","ImnohMZZJcc","262","2018-03-14","284376","7315","60","2020-04-30 23:19:02","111","3","n","n","0"
"2451","0","Mianhae","main","9mRicqcxQro","231","2018-03-12","2919082","62690","629","2020-05-03 17:46:02","1535","18","n","n","0"
"2452","0","The Blue Bird","main","hSmbWLlfd88","19","2018-03-12","546966","12415","172","2020-04-30 23:21:01","340","16","n","n","0"
"2453","0","Look","main","sS0LCjOiIhc","80","2018-03-12","83903508","1658426","18534","2020-05-03 02:00:30","31256","521","n","n","0"
"2454","0","Dreams Come True","main","IrircflFHzw","218","2018-02-27","5794808","98642","2562","2020-05-03 15:05:02","2032","37","n","n","0"
"2455","4776","Candyland","duplicate","62Z4BHNyA9w","213","2018-03-15","319381","22964","81","2020-04-30 23:52:30","102","3","n","n","0"
"2456","0","Hold the moon","main","OajzJsz88RI","67","2018-03-15","1490352","41834","252","2020-05-03 15:08:01","489","7","n","n","0"
"2457","2453","Look (x adidas)","alternate","m3c1Kk4xgNc","80","2018-03-18","5746615","304839","1076","2020-05-03 17:47:02","3936","88","n","n","0"
"2458","0","Boomerang","main","pmMjkMtpnTc","265","2018-03-19","62301962","1286980","34945","2020-05-03 02:28:30","28735","594","n","n","0"
"2459","0","Just do it","main","YGXiVHTy0JE","171","2018-03-21","3815280","228145","1368","2020-05-03 17:47:02","3607","92","n","n","0"
"2460","0","Bibidi Badidi Boo","main","LAOT6JscCVU","286","2018-03-21","3116553","100523","40762","2020-05-03 17:48:01","1095","27","n","n","0"
"2461","2460","Bibidi Babidi Boo","alternate","PV8mn_cw0Xk","286","2018-03-21","1326794","34955","16312","2020-05-03 15:28:02","392","6","n","n","0"
"2462","2459","Just do it","alternate","h-LIrDa0VeA","171","2018-03-23","2268043","138061","486","2020-05-03 15:29:02","2267","63","n","n","0"
"2463","0","Become Calm","main","7kgV7Hrb-1c","287","2018-03-25","4943936","202504","718","2020-05-03 17:48:01","5253","139","n","n","0"
"2464","0","Hug me","main","O7NwSLV_A3o","267","2018-03-25","1537422","51198","1272","2020-05-03 17:49:01","496","11","n","n","0"
"2465","0","Jealousy","main","TSA9VZduuZ4","143","2018-03-26","29028701","720970","4411","2020-05-03 03:57:01","15438","233","n","n","0"
"2466","4125","Everyday","duplicate","LKVw4pTc1Hs","138","2018-03-30","1377038","69976","351","2020-05-03 17:49:01","549","23","n","n","0"
"2467","2442","Star Wind Flower Sun","duplicate","EXRPKnIdlIs","138","2018-03-06","1965925","63498","507","2020-05-03 17:49:01","267","11","n","n","0"
"2468","2449","Touch","dance","TWla8bwfcMc","148","2018-03-28","3053901","174351","530","2020-05-03 17:50:01","3406","172","n","n","0"
"2469","0","ONE","main","tvAk65H4JCI","277","2018-03-28","6144516","327690","2004","2020-05-03 15:31:02","2534","125","n","n","0"
"2470","0","The Chance of Love","main","3wnHiK5sKgA","207","2018-03-28","16074677","416520","3435","2020-05-03 17:50:01","6540","96","n","n","0"
"2471","0","Black Dress","main","hF6Wds75rjg","45","2018-02-22","31271022","514402","7040","2020-05-03 03:43:02","11921","158","n","n","0"
"2472","0","Potion","main","MSKak-e3Cgs","58","2018-04-09","2345903","119058","437","2020-05-03 17:51:01","1604","50","n","n","0"
"2473","0","Please, Stop me","main","zCbCV63j4do","155","2018-04-06","376849","8640","263","2020-05-01 13:01:01","46","1","n","n","0"
"2474","0","Everyday","main","d1D1SJ-KqaQ","217","2018-04-04","59299373","1053691","19897","2020-05-03 02:33:01","31011","358","n","n","0"
"2475","0","Distance","main","Qv5JSMpBHf4","45","2018-04-03","941601","60012","383","2020-05-01 13:08:02","636","19","n","n","0"
"2476","0","Love Line","main","vHvwuBzimIU","207","2018-04-03","5421970","156266","3071","2020-05-03 17:50:01","1767","30","n","n","0"
"2477","0","Yestoday","main","gUWDiXBNohY","150","2018-04-01","10920974","552086","3076","2020-05-03 17:52:01","6609","218","n","n","0"
"2478","0","Lote It","main","cu-Bt1oM470","190","2018-04-01","95513","4546","20","2020-05-01 13:43:02","19","2","n","n","0"
"2479","0","Lady","main","Q1JiptOTxno","60","2018-04-02","16260198","439593","5555","2020-05-03 15:41:02","4393","74","n","n","0"
