,Song Title,Artist,Type of Artist,Likes,Likes Ratio,MV Views,Days Old,Years Old,Likes/MV,Sales,Total Views
504,I got a boy,Girls'Generation,female group,"1,641,890",93.1%,"229,814,378",2.690 days,7.36986301369863,"292,080","2,918,016","2,523,156,750"
505,Gee,Girls'Generation,female group,"1,543,786",95.9%,"249,815,565",3.992 days,10.936986301369863,"292,080","2,918,016","2,523,156,750"
506,The Boys,Girls'Generation,female group,"1,479,945",93.8%,"238,228,649",3.130 days,8.575342465753424,"292,080","2,918,016","2,523,156,750"
507,Holiday,Girls'Generation,female group,"934,653",96.4%,"46,851,426",1.013 days,2.7753424657534245,"292,080","2,918,016","2,523,156,750"
508,Lion Heart,Girls'Generation,female group,"906,532",96.3%,"110,511,016",1.731 days,4.742465753424658,"292,080","2,918,016","2,523,156,750"
509,Party,Girls'Generation,female group,"883,948",94.9%,"107,873,722",1.772 days,4.854794520547945,"292,080","2,918,016","2,523,156,750"
510,Mr.Mr.,Girls'Generation,female group,"742,314",94.6%,"86,482,799",2.266 days,6.208219178082191,"292,080","2,918,016","2,523,156,750"
511,Catch Me If You Can,Girls'Generation,female group,"681,720",93.4%,"74,074,539",1.861 days,5.098630136986301,"292,080","2,918,016","2,523,156,750"
512,Oh!,Girls'Generation,female group,"601,000",95.7%,"124,354,680",3.760 days,10.301369863013699,"292,080","2,918,016","2,523,156,750"
513,Run Devil Run,Girls'Generation,female group,"571,350",96.3%,"106,362,261",3.711 days,10.167123287671233,"292,080","2,918,016","2,523,156,750"
514,Into the new world,Girls'Generation,female group,"535,341",98.5%,"40,411,469",3.268 days,8.953424657534246,"292,080","2,918,016","2,523,156,750"
515,You Think,Girls'Generation,female group,"509,153",96.7%,"45,036,577",1.730 days,4.739726027397261,"292,080","2,918,016","2,523,156,750"
516,All Night,Girls'Generation,female group,"478,773",97.9%,"21,830,134",1.012 days,2.7726027397260276,"292,080","2,918,016","2,523,156,750"
517,Genie,Girls'Generation,female group,"413,270",97.0%,"67,552,327",3.730 days,10.219178082191782,"292,080","2,918,016","2,523,156,750"
518,Paparazzi,Girls'Generation,female group,"398,199",93.9%,"64,373,021",2.890 days,7.917808219178082,"292,080","2,918,016","2,523,156,750"
519,Mr.Mr.(dance),Girls'Generation,female group,"342,099",96.7%,"43,790,229",2.236 days,6.126027397260274,"292,080","2,918,016","2,523,156,750"
520,All Night(alternate),Girls'Generation,female group,"333,659",97.4%,"7,290,986",1.013 days,2.7753424657534245,"292,080","2,918,016","2,523,156,750"
521,Dancing Queen,Girls'Generation,female group,"323,887",94.0%,"55,189,737",2.700 days,7.397260273972603,"292,080","2,918,016","2,523,156,750"
522,Galaxy Supernova (japanese),Girls'Generation,female group,"323,304",94.8%,"61,811,398",2.443 days,6.693150684931507,"292,080","2,918,016","2,523,156,750"
523,Lo Siento,SuperJunior,male group,"1,632,357",98.3%,"71,964,076",762 days,2.0876712328767124,"425,444","4,085,976","1,312,356,156"
524,One more Time,SuperJunior,male group,"1,499,824",98.4%,"64,988,768",583 days,1.5972602739726027,"425,444","4,085,976","1,312,356,156"
525,Mr. Simple,SuperJunior,male group,"1,327,057",96.8%,"179,110,763",3.206 days,8.783561643835617,"425,444","4,085,976","1,312,356,156"
526,MAMACITA,SuperJunior,male group,"1,134,674",98.3%,"89,847,714",2.085 days,5.712328767123288,"425,444","4,085,976","1,312,356,156"
527,"Sorry, Sorry",SuperJunior,male group,"940,821",97.5%,"119,064,632",3.993 days,10.93972602739726,"425,444","4,085,976","1,312,356,156"
528,Black Suit,SuperJunior,male group,"899,460",99.1%,"45,512,234",919 days,2.5178082191780824,"425,444","4,085,976","1,312,356,156"
529,One More Chance,SuperJunior,male group,"797,751",99.3%,"25,206,456",926 days,2.536986301369863,"425,444","4,085,976","1,312,356,156"
530,2YA2YAO!,SuperJunior,male group,"778,706",99.1%,"12,317,794",106 days,0.29041095890410956,"425,444","4,085,976","1,312,356,156"
531,Ahora te Puedes Marchar,SuperJunior,male group,"723,475",97.5%,"14,048,609",439 days,1.2027397260273973,"425,444","4,085,976","1,312,356,156"
532,Bonamana,SuperJunior,male group,"693,069",97.5%,"122,814,884",3.655 days,10.013698630136986,"425,444","4,085,976","1,312,356,156"
533,I Think I,SuperJunior,male group,"649,534",99.3%,"11,237,506",222 days,0.6082191780821918,"425,444","4,085,976","1,312,356,156"
534,No Other,SuperJunior,male group,"644,436",98.0%,"97,475,395",3.598 days,9.857534246575343,"425,444","4,085,976","1,312,356,156"
535,SUPER Clap,SuperJunior,male group,"627,332",98.9%,"21,052,119",209 days,0.5726027397260274,"425,444","4,085,976","1,312,356,156"
536,"Sexy, Free & Single",SuperJunior,male group,"574,452",96.7%,"71,881,609",2.872 days,7.868493150684931,"425,444","4,085,976","1,312,356,156"
537,Devil(alternate),SuperJunior,male group,"486,080",98.7%,"45,720,768",1.757 days,4.813698630136987,"425,444","4,085,976","1,312,356,156"
538,Magic,SuperJunior,male group,"415,988",98.7%,"28,315,721",1.702 days,4.663013698630137,"425,444","4,085,976","1,312,356,156"
539,Devil,SuperJunior,male group,"398,885",98.0%,"19,766,124",1.764 days,4.832876712328767,"425,444","4,085,976","1,312,356,156"
540,THIS IS LOVE,SuperJunior,male group,"333,245",98.7%,"29,453,969",2.030 days,5.561643835616438,"425,444","4,085,976","1,312,356,156"
541,Spy,SuperJunior,male group,"332,657",96.7%,"38,693,541",2.831 days,7.756164383561644,"425,444","4,085,976","1,312,356,156"
542,What a life,EXO-SC,male group,"1,614,474",98.7%,"24,264,683",297 days,0.8136986301369863,"977,156",0,"60,532,286"
543,We Young,EXO-SC,male group,"1,322,916",99.1%,"27,054,625",607 days,1.663013698630137,"977,156",0,"60,532,286"
544,Closer to you,EXO-SC,male group,"611,119",99.6%,"5,614,460",293 days,0.8027397260273973,"977,156",0,"60,532,286"
545,Just us 2,EXO-SC,male group,"360,115",99.8%,"3,598,518",299 days,0.8191780821917808,"977,156",0,"60,532,286"
546,Latata,(G)I-dle,female group,"1,613,800",97.5%,"141,830,098",742 days,2.032876712328767,"462,920","215,004","676,036,583"
547,Oh my god,(G)I-dle,female group,"1,512,685",97.0%," 84,925,584",37 days,0.10136986301369863,"462,920","215,004","676,036,583"
548,Hann,(G)I-dle,female group,"1,468,754",97.7%,"89,534,632",638 days,1.747945205479452,"462,920","215,004","676,036,583"
549,Lion,(G)I-dle,female group,"1,313,881",98.5%,"53,855,665",192 days,0.5260273972602739,"462,920","215,004","676,036,583"
550,Uh-Oh,(G)I-dle,female group,"885,827",97.9%,"34,081,036",322 days,0.8821917808219178,"462,920","215,004","676,036,583"
551,Senorita,(G)I-dle,female group,"844,434",97.4%,"41,375,212",442 days,1.210958904109589,"462,920","215,004","676,036,583"
552,Senorita,(G)I-dle,female group,"814,299",97.8%,"40,061,823",442 days,1.210958904109589,"462,920","215,004","676,036,583"
553,Uh-Oh,(G)I-dle,female group,"645,477",97.8%,"23,129,075",322 days,0.8821917808219178,"462,920","215,004","676,036,583"
554,Hann,(G)I-dle,female group,"587,220",97.4%,"34,073,120",638 days,1.747945205479452,"462,920","215,004","676,036,583"
555,Latata,(G)I-dle,female group,"396,160",98.4%,"12,003,043",742 days,2.032876712328767,"462,920","215,004","676,036,583"
556,Hann(dance),(G)I-dle,female group,"390,479",98.4%,"23,317,306",632 days,1.7315068493150685,"462,920","215,004","676,036,583"
557,Latata(dance),(G)I-dle,female group,"347,107",98.2%,"22,161,805",734 days,2.010958904109589,"462,920","215,004","676,036,583"
558,Latata (jp),(G)I-dle,female group,"318,096",98.5%,"5,483,958",307 days,0.8410958904109589,"462,920","215,004","676,036,583"
559,Really Really,Winner,male group,"1,534,710",98.6%,"138,170,260",1.135 days,3.1095890410958904,"353,350","828,177","564,233,412"
560,Everyday,Winner,male group,"1,057,237",98.2%,"59,590,239",770 days,2.1095890410958904,"353,350","828,177","564,233,412"
561,Milions,Winner,male group,"827,661",98.8%,"41,479,353",511 days,1.4,"353,350","828,177","564,233,412"
562,Ah yeah,Winner,male group,"825,005",99.0%,"22,689,059",364 days,0.9972602739726028,"353,350","828,177","564,233,412"
563,Island,Winner,male group,"688,583",98.9%,"38,130,601",1.013 days,2.7753424657534245,"353,350","828,177","564,233,412"
564,Soso,Winner,male group,"537,667",99.1%,"10,458,644",203 days,0.5561643835616439,"353,350","828,177","564,233,412"
565,Fool,Winner,male group,"524,349",99.2%,"32,621,759",1.135 days,3.1095890410958904,"353,350","828,177","564,233,412"
566,Love me Love me,Winner,male group,"516,085",99.0%,"29,560,732",1.013 days,2.7753424657534245,"353,350","828,177","564,233,412"
567,Empty,Winner,male group,"481,429",98.4%,"44,075,406",2.102 days,5.758904109589041,"353,350","828,177","564,233,412"
568,Sentimental,Winner,male group,"429,684",98.7%,"32,004,099",1.564 days,4.284931506849315,"353,350","828,177","564,233,412"
569,Remember,Winner,male group,"409,550",99.4%," 21,757,839",34 days,0.09315068493150686,"353,350","828,177","564,233,412"
570,"무제(無題) (Untitled, 2014)",G-DRAGON,male soloist,"1,488,001",98.7%,"109,565,209",1.070 days,2.9315068493150687,"476,474","896,809","790,129,480"
571,Crooked,G-DRAGON,male soloist,"1,320,041",97.6%,"181,431,692",2.443 days,6.693150684931507,"476,474","896,809","790,129,480"
572,That XX,G-DRAGON,male soloist,"801,436",97.9%,"84,338,459",2.812 days,7.704109589041096,"476,474","896,809","790,129,480"
573,WHO YOU?,G-DRAGON,male soloist,"741,990",98.3%,"114,580,504",2.373 days,6.501369863013698,"476,474","896,809","790,129,480"
574,Crayon,G-DRAGON,male soloist,"722,465",97.4%,"68,657,666",2.796 days,7.66027397260274,"476,474","896,809","790,129,480"
575,One of a kind,G-DRAGON,male soloist,"508,900",96.2%,"56,047,613",2.819 days,7.723287671232876,"476,474","896,809","790,129,480"
576,Heartbreaker,G-DRAGON,male soloist,"440,041",97.2%,"68,310,712",3.922 days,10.745205479452055,"476,474","896,809","790,129,480"
577,Coup d'etat,G-DRAGON,male soloist,"400,476",97.8%,"33,033,970",2.446 days,6.701369863013698,"476,474","896,809","790,129,480"
578,Hero,MonstaX,male group,"1,464,025",98.7%,"103,487,174",1.686 days,4.619178082191781,"351,375","1,565,848","652,060,139"
579,Dramarama,MonstaX,male group,"1,029,366",99.3%,"42,420,330",918 days,2.515068493150685,"351,375","1,565,848","652,060,139"
580,Who do u love?,MonstaX,male group,"1,018,606",99.3%,"26,167,659",327 days,0.8958904109589041,"351,375","1,565,848","652,060,139"
581,Play it Cool (Steve Aoki),MonstaX,male group,"1,009,794",98.7%,"25,885,207",413 days,1.1315068493150684,"351,375","1,565,848","652,060,139"
582,Shoot Out,MonstaX,male group,"998,307",99.1%,"50,665,923",569 days,1.558904109589041,"351,375","1,565,848","652,060,139"
583,Beautiful,MonstaX,male group,"908,855",99.3%,"48,524,271",1.149 days,3.147945205479452,"351,375","1,565,848","652,060,139"
584,Alligator,MonstaX,male group,"768,892",99.1%,"34,743,015",450 days,1.2328767123287672,"351,375","1,565,848","652,060,139"
585,Jealousy,MonstaX,male group,"723,831",99.4%,"29,204,677",779 days,2.1342465753424658,"351,375","1,565,848","652,060,139"
586,Follow,MonstaX,male group,"679,355",99.2%," 24,289,929",198 days,0.5424657534246575,"351,375","1,565,848","652,060,139"
587,Shine Forever,MonstaX,male group,"620,572",99.4%,"20,905,344",1.059 days,2.9013698630136986,"351,375","1,565,848","652,060,139"
588,Someone's Someone,MonstaX,male group,"550,728",98.7%," 19,595,047",210 days,0.5753424657534246,"351,375","1,565,848","652,060,139"
589,All In,MonstaX,male group,"536,605",99.4%,"23,159,918",1.457 days,3.9917808219178084,"351,375","1,565,848","652,060,139"
590,You Can't Hold My Heart,MonstaX,male group,"449,863",99.3%,"3,562,248",26 days,0.07123287671232877,"351,375","1,565,848","652,060,139"
591,Stuck,MonstaX,male group,"431,424",99.4%,"23,112,558",1.375 days,3.767123287671233,"351,375","1,565,848","652,060,139"
592,Middle of the Night (eng),MonstaX,male group,"392,464",99.6%,"7,195,168",159 days,0.43561643835616437,"351,375","1,565,848","652,060,139"
593,Livin' it up (japanese),MonstaX,male group,"379,986",99.5%,"13,283,846",651 days,1.7835616438356163,"351,375","1,565,848","652,060,139"
594,Trespass,MonstaX,male group,"365,682",99.1%,"22,095,971",1.827 days,5.005479452054795,"351,375","1,565,848","652,060,139"
595,Find You,MonstaX,male group,"355,352",99.7%,"3,548,217",204 days,0.5589041095890411,"351,375","1,565,848","652,060,139"
596,Fighter,MonstaX,male group,"351,654",99.5%,"12,090,448",1.318 days,3.610958904109589,"351,375","1,565,848","652,060,139"
597,X-Phenomenon (jp),MonstaX,male group,"346,172",99.5%,"5,738,657",303 days,0.8301369863013699,"351,375","1,565,848","652,060,139"
598,Newton,MonstaX,male group,"323,633",99.6%,"7,021,773",1.021 days,2.797260273972603,"351,375","1,565,848","652,060,139"
599,Rush,MonstaX,male group,"301,507",99.2%,"19,238,959",1.711 days,4.6876712328767125,"351,375","1,565,848","652,060,139"
600,UN Village,Baekhyun,male soloist,"1,450,761",99.5%,"28,985,591",308 days,0.8438356164383561,"959,155","573,780","102,881,626"
601,Beautiful,Baekhyun,male soloist,"907,653",99.0%,"58,193,279",1.843 days,5.049315068493151,"959,155","573,780","102,881,626"
602,Take you home,Baekhyun,male soloist,"519,052",99.1%,"15,702,756",1.125 days,3.0821917808219177,"959,155","573,780","102,881,626"
603,Flash,X1,male group,"1,449,631",97.5%," 73,149,579",260 days,0.7123287671232876,"530,661","654,173","86,769,837"
604,Flash(dance),X1,male group,"291,183",99.1%,"8,037,644",252 days,0.6904109589041096,"530,661","654,173","86,769,837"
605,La Vie en Rose,IZ*ONE,female group,"1,421,154",95.2%,"124,366,024",562 days,1.5397260273972602,"293,328","1,031,930","357,573,489"
606,Violeta,IZ*ONE,female group,"1,005,877",97.1%,"63,445,993",408 days,1.1178082191780823,"293,328","1,031,930","357,573,489"
607,FIESTA,IZ*ONE,female group,"835,827",95.7%," 37,653,741",86 days,0.2356164383561644,"293,328","1,031,930","357,573,489"
608,Suki to Iwasetai (jp),IZ*ONE,female group,"479,310",96.6%,"22,162,116",475 days,1.3013698630136987,"293,328","1,031,930","357,573,489"
609,Vampire (jp),IZ*ONE,female group,"404,539",93.1%,"14,051,432",244 days,0.6684931506849315,"293,328","1,031,930","357,573,489"
610,Buenos Aires,IZ*ONE,female group,"321,175",95.9%,"12,964,086",336 days,0.9205479452054794,"293,328","1,031,930","357,573,489"
611,No One,LeeHi,female soloist,"1,411,920",98.9%,"46,075,345",349 days,0.9561643835616438,"312,079","31,334","194,574,719"
612,Breathe,LeeHi,female soloist,"738,576",98.8%,"67,956,834",1.527 days,4.183561643835616,"312,079","31,334","194,574,719"
613,Shinin',Jonghyun☮,male soloist,"1,339,329",99.7%,"21,399,493",842 days,2.3068493150684932,"621,844","540,297","40,073,479"
614,She is,Jonghyun☮,male soloist,"301,220",99.0%,"8,799,061",1.451 days,3.9753424657534246,"621,844","540,297","40,073,479"
615,Twit,Hwasa,female soloist,"1,325,211",98.3%,"63,958,671",455 days,1.2465753424657535,"504,078",0,"91,269,323"
616,Twit,Hwasa,female soloist,"589,082",99.3%,"13,012,301",455 days,1.2465753424657535,"504,078",0,"91,269,323"
617,Hello Bitches,CL,female soloist,"1,316,438",96.6%,"53,449,778",1.635 days,4.47945205479452,"377,459",0,"162,583,514"
618,Lifted,CL,female soloist,"623,348",95.1%,"31,645,223",1.364 days,3.736986301369863,"377,459",0,"162,583,514"
619,The Baddest Female,CL,female soloist,"561,554",96.0%,"47,427,357",2.543 days,6.967123287671233,"377,459",0,"162,583,514"
620,Done161201,CL,female soloist,"383,703",96.3%,"9,159,585",161 days,0.4410958904109589,"377,459",0,"162,583,514"
621,Rewind170205,CL,female soloist,"291,815",99.7%,"3,491,012",161 days,0.4410958904109589,"377,459",0,"162,583,514"
622,Crazy,4Minute,female group,"1,256,180",97.9%,"132,979,072",1.921 days,5.263013698630137,"193,135","205,867","614,726,902"
623,Hate,4Minute,female group,"770,121",97.9%,"60,667,395",1.564 days,4.284931506849315,"193,135","205,867","614,726,902"
624,Crazy(alternate),4Minute,female group,"422,994",98.7%,"29,460,792",1.906 days,5.221917808219178,"193,135","205,867","614,726,902"
625,Crazy(dance),4Minute,female group,"310,880",98.5%,"33,691,998",1.886 days,5.167123287671233,"193,135","205,867","614,726,902"
626,Blooming Day,EXO-CBX,male group,"1,239,922",98.7%,"44,559,581",764 days,2.0931506849315067,"601,498","656,826","194,449,656"
627,Hey Mama!,EXO-CBX,male group,"1,193,300",97.7%,"64,922,780",1.291 days,3.536986301369863,"601,498","656,826","194,449,656"
628,Horololo (jp),EXO-CBX,male group,"940,465",98.6%,"24,704,496",750 days,2.0547945205479454,"601,498","656,826","194,449,656"
629,Ka-CHING! (jp),EXO-CBX,male group,"808,711",98.7%,"29,718,740",1.109 days,3.0383561643835617,"601,498","656,826","194,449,656"
630,The One,EXO-CBX,male group,"713,121",99.3%,"18,690,930",1.284 days,3.5178082191780824,"601,498","656,826","194,449,656"
631,Blooming day(dance),EXO-CBX,male group,"381,936",99.6%,"8,938,236",751 days,2.0575342465753423,"601,498","656,826","194,449,656"
632,Don`t Recall,KARD,coed group,"1,196,069",99.1%,"67,388,712",1.183 days,3.241095890410959,"286,516","45,319","412,424,738"
633,Hola Hola,KARD,coed group,"1,093,211",99.0%,"43,125,051",1.029 days,2.819178082191781,"286,516","45,319","412,424,738"
634,Bomb Bomb,KARD,coed group,"935,291",99.0%,"36,234,819",413 days,1.1315068493150684,"286,516","45,319","412,424,738"
635,Dumb Litty,KARD,coed group,"774,267",99.0%,"14,971,557",234 days,0.6410958904109589,"286,516","45,319","412,424,738"
636,Oh NaNa(dance),KARD,coed group,"761,134",98.7%,"57,922,795",1.239 days,3.3945205479452056,"286,516","45,319","412,424,738"
637,Oh NaNa,KARD,coed group,"685,767",99.0%,"36,279,644",1.248 days,3.419178082191781,"286,516","45,319","412,424,738"
638,Rumor,KARD,coed group,"561,019",99.1%,"18,556,472",1.116 days,3.0575342465753423,"286,516","45,319","412,424,738"
639,Red Moon,KARD,coed group,"499,361",99.5%,"8,311,875",91 days,0.2493150684931507,"286,516","45,319","412,424,738"
640,Don`t Recall(dance),KARD,coed group,"477,606",99.0%,"28,052,455",1.174 days,3.2164383561643834,"286,516","45,319","412,424,738"
641,Ride on the wind,KARD,coed group,"405,851",99.3%,"7,230,193",658 days,1.8027397260273972,"286,516","45,319","412,424,738"
642,Bomb Bomb,KARD,coed group,"401,700",99.4%,"4,765,019",413 days,1.1315068493150684,"286,516","45,319","412,424,738"
643,You in me,KARD,coed group,"380,857",99.3%,"9,349,913",904 days,2.4767123287671233,"286,516","45,319","412,424,738"
644,Don't Recall Hidden (eng ver),KARD,coed group,"306,852",99.3%,"6,861,613",1.169 days,3.202739726027397,"286,516","45,319","412,424,738"
645,FACE,NU'EST,male group,"1,166,259",98.1%,"113,435,600",2.982 days,8.169863013698631,"144,793","691,928","281,841,800"
646,Bet Bet,NU'EST,male group,"603,468",99.4%,"19,236,692",380 days,1.0410958904109588,"144,793","691,928","281,841,800"
647,Sweet Night,V(BTS),male soloist,"1,159,638",99.4%,"26,570,859",61 days,0.16712328767123288,"1,159,638",0,"26,570,859"
648,I Love You,EXID,female group,"1,144,863",98.7%,"57,817,242",539 days,1.4767123287671233,"239,467","131,061","602,679,227"
649,UP&DOWN,EXID,female group,"847,592",96.4%,"102,730,664",2.087 days,5.717808219178083,"239,467","131,061","602,679,227"
650,Me&You,EXID,female group,"847,314",98.9%,"24,348,548",364 days,0.9972602739726028,"239,467","131,061","602,679,227"
651,DDD,EXID,female group,"758,151",98.3%,"47,563,415",918 days,2.515068493150685,"239,467","131,061","602,679,227"
652,Ah Yeah,EXID,female group,"454,924",96.4%,"72,927,918",1.858 days,5.090410958904109,"239,467","131,061","602,679,227"
653,Lady,EXID,female group,"440,147",98.8%,"16,301,856",772 days,2.115068493150685,"239,467","131,061","602,679,227"
654,Hot Pink,EXID,female group,"412,366",96.7%,"58,092,602",1.639 days,4.49041095890411,"239,467","131,061","602,679,227"
655,L.I.E,EXID,female group,"392,869",96.2%,"41,385,134",1.443 days,3.9534246575342467,"239,467","131,061","602,679,227"
656,I love you(dance),EXID,female group,"319,553",99.2%,"15,624,682",534 days,1.463013698630137,"239,467","131,061","602,679,227"
657,Wow Thing,Seulgi+SinB+ChungHa+Soyeon,female group,"1,118,351",98.7%,"46,407,525",593 days,1.6246575342465754,"706,561",0,"53,797,256"
658,Wow Thing(dance),Seulgi+SinB+ChungHa+Soyeon,female group,"294,770",99.3%,"7,389,731",600 days,1.643835616438356,"706,561",0,"53,797,256"
659,That's okay,D.O.,male soloist,"1,091,715",99.7%,"15,357,166",317 days,0.8684931506849315,"1,091,715",0,"15,357,166"
660,Snapping,Chungha,female soloist,"1,076,766",99.0%,"53,424,573",324 days,0.8876712328767123,"215,088","66,563","347,765,660"
661,Gotta Go,Chungha,female soloist,"1,005,454",99.0%,"62,843,121",497 days,1.3616438356164384,"215,088","66,563","347,765,660"
662,Roller Coaster,Chungha,female soloist,"687,219",98.5%,"62,308,749",847 days,2.3205479452054796,"215,088","66,563","347,765,660"
663,Stay Tonight,Chungha,female soloist,"651,858",98.7%,"8,368,238",16 days,0.043835616438356165,"215,088","66,563","347,765,660"
664,Why don't you know,Chungha,female soloist,"379,477",98.6%,"27,832,104",1.072 days,2.936986301369863,"215,088","66,563","347,765,660"
665,Snapping,Chungha,female soloist,"309,180",99.0%,"10,143,804",324 days,0.8876712328767123,"215,088","66,563","347,765,660"
666,Flower shower,Hyuna,female soloist,"1,071,843",99.0%,"18,786,695",190 days,0.5205479452054794,"286,700","58,355","756,216,706"
667,Because I'm The Best,Hyuna,female soloist,"944,022",96.3%,"106,210,218",1.728 days,4.734246575342466,"286,700","58,355","756,216,706"
668,Lip & Hip,Hyuna,female soloist,"736,054",95.4%,"43,588,626",891 days,2.441095890410959,"286,700","58,355","756,216,706"
669,Bubble Pop!,Hyuna,female soloist,"643,822",91.2%,"145,581,125",3.236 days,8.865753424657534,"286,700","58,355","756,216,706"
670,RED,Hyuna,female soloist,"562,747",93.6%,"84,942,692",2.117 days,5.8,"286,700","58,355","756,216,706"
671,Ice Cream,Hyuna,female soloist,"490,686",87.8%,"109,947,938",2.761 days,7.564383561643836,"286,700","58,355","756,216,706"
672,How's this?,Hyuna,female soloist,"461,421",94.5%,"44,599,262",1.382 days,3.786301369863014,"286,700","58,355","756,216,706"
673,Lip & Hip,Hyuna,female soloist,"450,785",96.2%,"19,758,884",891 days,2.441095890410959,"286,700","58,355","756,216,706"
674,Babe,Hyuna,female soloist,"331,158",98.2%,"17,345,077",988 days,2.706849315068493,"286,700","58,355","756,216,706"
675,Any song,Zico,male soloist,"1,034,384",98.8%,"46,082,283",121 days,0.3315068493150685,"167,359","66,239","277,598,333"
676,Bermuda Triangle,Zico,male soloist,"654,322",98.9%,"45,301,762",1.263 days,3.4602739726027396,"167,359","66,239","277,598,333"
677,"I Am You, You Are Me",Zico,male soloist,"407,376",98.5%,"40,899,790",1.571 days,4.304109589041096,"167,359","66,239","277,598,333"
678,She's a Baby,Zico,male soloist,"333,258",98.6%,"20,319,413",1.126 days,3.084931506849315,"167,359","66,239","277,598,333"
679,SoulMate,Zico,male soloist,"324,863",98.8%,"21,607,477",653 days,1.789041095890411,"167,359","66,239","277,598,333"
680,Beautiful Goodbye,Chen,male soloist,"1,014,292",99.6%,"17,184,871",409 days,1.1205479452054794,"266,683","381,845","91,879,855"
681,Shall we?,Chen,male soloist,"536,637",99.6%,"7,154,798",226 days,0.6191780821917808,"266,683","381,845","91,879,855"
682,Best Luck,Chen,male soloist,"415,765",99.0%,"48,810,215",2.116 days,5.7972602739726025,"266,683","381,845","91,879,855"
683,Good Evening,SHINee,male group,"1,004,667",99.4%,"28,833,746",716 days,1.9616438356164383,"337,308","2,093,857","720,677,816"
684,Ring Ding Dong,SHINee,male group,"994,965",97.8%,"121,891,552",3.862 days,10.580821917808219,"337,308","2,093,857","720,677,816"
685,View,SHINee,male group,"745,547",98.7%,"49,166,622",1.822 days,4.991780821917808,"337,308","2,093,857","720,677,816"
686,Lucifer,SHINee,male group,"737,798",97.3%,"110,433,171",3.586 days,9.824657534246576,"337,308","2,093,857","720,677,816"
687,Countless,SHINee,male group,"684,158",99.6%,"15,869,660",611 days,1.673972602739726,"337,308","2,093,857","720,677,816"
688,Hello,SHINee,male group,"533,434",97.9%,"74,451,979",3.509 days,9.613698630136986,"337,308","2,093,857","720,677,816"
689,I Want You,SHINee,male group,"492,498",99.5%,"12,999,286",702 days,1.9232876712328768,"337,308","2,093,857","720,677,816"
690,Tell Me What To Do,SHINee,male group,"467,528",99.2%,"21,555,746",1.276 days,3.495890410958904,"337,308","2,093,857","720,677,816"
691,Our Page,SHINee,male group,"459,249",99.7%,"9,736,256",688 days,1.884931506849315,"337,308","2,093,857","720,677,816"
692,Everybody,SHINee,male group,"445,849",97.7%,"42,172,772",2.407 days,6.594520547945206,"337,308","2,093,857","720,677,816"
693,Sherlock,SHINee,male group,"383,190",97.7%,"39,800,693",2.974 days,8.147945205479452,"337,308","2,093,857","720,677,816"
694,1 of 1,SHINee,male group,"380,978",98.8%,"15,467,426",1.317 days,3.6082191780821917,"337,308","2,093,857","720,677,816"
695,Replay,SHINee,male group,"372,856",99.3%,"23,275,139",3.268 days,8.953424657534246,"337,308","2,093,857","720,677,816"
696,Married To The Music,SHINee,male group,"309,218",98.2%,"17,779,341",1.746 days,4.7835616438356166,"337,308","2,093,857","720,677,816"
697,What are you up to,KangDaniel,male soloist,"978,623",98.4%,"19,581,932",293 days,0.8027397260273973,"246,362","767,014","34,032,644"
698,Dancing King,EXO+YooJae-suk,male group,"956,715",98.8%,"53,688,148",1.334 days,3.654794520547945,"956,715",0,"53,688,148"
699,Neverland,Holland,male soloist,"956,652",95.8%,"13,025,931",843 days,2.3095890410958906,"461,002",0,"20,343,465"
700,I'm Not Afraid,Holland,male soloist,"536,768",97.8%,"5,094,565",678 days,1.8575342465753424,"461,002",0,"20,343,465"
701,SSFW,Chanyeol,male soloist,"951,107",99.6%,"8,248,730",384 days,1.0520547945205478,"951,107",0,"8,248,730"
702,Let's Love,Suho,male group,"933,998",99.3%,"6,808,912",44 days,0.12054794520547946,"933,998","281,445","6,808,912"
703,Move,Taemin,male soloist,"884,360",99.0%,"44,072,953",940 days,2.5753424657534247,"288,885","495,521","213,513,122"
704,Want,Taemin,male soloist,"855,836",99.3%,"29,186,104",457 days,1.252054794520548,"288,885","495,521","213,513,122"
705,Move(dance),Taemin,male soloist,"453,274",99.3%,"17,802,579",933 days,2.5561643835616437,"288,885","495,521","213,513,122"
706,Famous (jp),Taemin,male soloist,"450,831",99.5%,"11,776,355",292 days,0.8,"288,885","495,521","213,513,122"
707,Danger,Taemin,male soloist,"395,396",97.9%,"28,110,082",2.098 days,5.747945205479452,"288,885","495,521","213,513,122"
708,Press Your Number,Taemin,male soloist,"313,666",98.8%,"12,237,954",1.542 days,4.2246575342465755,"288,885","495,521","213,513,122"
709,Shoot Me,Day6,male group,"867,493",99.5%,"33,045,464",687 days,1.8821917808219177,"328,304","364,587","261,306,790"
710,Zombie,Day6,male group,"611,106",99.6%,"3,505,162",2 days,0.005479452054794521,"328,304","364,587","261,306,790"
711,Congratulations,Day6,male group,"605,734",99.5%,"29,471,046",1.711 days,4.6876712328767125,"328,304","364,587","261,306,790"
712,I Wait,Day6,male group,"583,944",99.6%,"24,299,801",1.224 days,3.3534246575342466,"328,304","364,587","261,306,790"
713,You were beautiful,Day6,male group,"537,452",99.5%,"26,394,718",1.193 days,3.2684931506849315,"328,304","364,587","261,306,790"
