,Song Title,Artist,Type of Artist,Likes,Likes Ratio,MV Views,Days Old,Years Old,Likes/MV,Sales,Total Views
22,Love Yourself - Tear 'Singularity',BTS,male group,"4,572,410",98.9%,"135,948,576",738 days,2.021917808219178,"2,400,603","21,047,066","11,914,564,663"
23,EGO,BTS,male group,"4,458,048",99.1%,"55,189,568",101 days,0.27671232876712326,"2,400,603","21,047,066","11,914,564,663"
24,Map of the Soul - Persona,BTS,male group,"4,390,608",98.5%,"62,435,856",413 days,1.1315068493150684,"2,400,603","21,047,066","11,914,564,663"
25,Make it right,BTS,male group,"4,180,656",99.0%,"66,266,428",208 days,0.5698630136986301,"2,400,603","21,047,066","11,914,564,663"
26,Idol (Feat. Nicki Minaj)(alternate),BTS,male group,"4,119,707",97.4%,"97,532,970",615 days,1.6849315068493151,"2,400,603","21,047,066","11,914,564,663"
27,Love Yourself - Answer 'Epiphany',BTS,male group,"4,104,176",99.1%,"57,781,194",643 days,1.7616438356164383,"2,400,603","21,047,066","11,914,564,663"
28,Love Yourself - Wonder 'Euphoria',BTS,male group,"4,061,855",99.2%,"59,153,252",769 days,2.106849315068493,"2,400,603","21,047,066","11,914,564,663"
29,Boy with luv - Army with luv(alternate),BTS,male group,"3,943,801",99.0%,"48,921,203",383 days,1.0493150684931507,"2,400,603","21,047,066","11,914,564,663"
30,Love Yourself - Her 'Serendipity',BTS,male group,"3,901,118",98.6%,"133,992,321",982 days,2.6904109589041094,"2,400,603","21,047,066","11,914,564,663"
31,Boy in Luv,BTS,male group,"3,864,875",97.4%,"332,496,824",2.283 days,6.254794520547946,"2,400,603","21,047,066","11,914,564,663"
32,Lights (jp),BTS,male group,"3,808,684",97.9%,"74,195,760",316 days,0.8657534246575342,"2,400,603","21,047,066","11,914,564,663"
33,Airplane pt2 (jp),BTS,male group,"3,567,926",98.6%,"121,015,029",554 days,1.5178082191780822,"2,400,603","21,047,066","11,914,564,663"
34,Black Swan(alternate),BTS,male group,"3,381,963",98.2%,"35,002,903",117 days,0.32054794520547947,"2,400,603","21,047,066","11,914,564,663"
35,No More Dream,BTS,male group,"3,225,478",98.9%,"134,523,168",2.528 days,6.926027397260274,"2,400,603","21,047,066","11,914,564,663"
36,Gogo (Dance only)(dance),BTS,male group,"3,050,319",98.4%,"138,693,625",929 days,2.5452054794520547,"2,400,603","21,047,066","11,914,564,663"
37,War of Hormone,BTS,male group,"2,802,084",98.3%,"228,077,778",2.031 days,5.564383561643836,"2,400,603","21,047,066","11,914,564,663"
38,Boy with luv(dance),BTS,male group,"2,775,273",98.8%,"62,206,666",388 days,1.063013698630137,"2,400,603","21,047,066","11,914,564,663"
39,I need U,BTS,male group,"2,651,850",98.4%,"205,435,516",1.841 days,5.043835616438356,"2,400,603","21,047,066","11,914,564,663"
40,Fake Love Extended(alternate),BTS,male group,"2,448,836",99.1%,"33,879,411",712 days,1.9506849315068493,"2,400,603","21,047,066","11,914,564,663"
41,Run,BTS,male group,"2,316,574",98.6%,"128,002,122",1.627 days,4.457534246575342,"2,400,603","21,047,066","11,914,564,663"
42,Idol(dance),BTS,male group,"2,258,881",98.7%,"65,219,601",619 days,1.6958904109589041,"2,400,603","21,047,066","11,914,564,663"
43,Wings 'Boy Meets Evil',BTS,male group,"1,953,829",99.5%,"57,783,167",1.326 days,3.632876712328767,"2,400,603","21,047,066","11,914,564,663"
44,Danger,BTS,male group,"1,945,806",98.5%,"145,401,236",2.094 days,5.736986301369863,"2,400,603","21,047,066","11,914,564,663"
45,Euphoria DJ Swivel Forever mix(alternate),BTS,male group,"1,943,876",99.8%,"17,608,241",338 days,0.9260273972602739,"2,400,603","21,047,066","11,914,564,663"
46,Just One Day,BTS,male group,"1,925,368",98.8%,"138,642,744",2.229 days,6.1068493150684935,"2,400,603","21,047,066","11,914,564,663"
47,MIC Drop (dance)(dance),BTS,male group,"1,913,029",99.1%,"55,066,825",342 days,0.936986301369863,"2,400,603","21,047,066","11,914,564,663"
48,Fire,BTS,male group,"1,867,310",98.5%,"64,510,042",1.473 days,4.035616438356165,"2,400,603","21,047,066","11,914,564,663"
49,Black swan(dance),BTS,male group,"1,788,519",99.5%,"23,305,705",96 days,0.26301369863013696,"2,400,603","21,047,066","11,914,564,663"
50,Fake Love(dance),BTS,male group,"1,784,792",99.2%,"50,378,198",717 days,1.9643835616438357,"2,400,603","21,047,066","11,914,564,663"
51,We Are Bulletproof pt2,BTS,male group,"1,777,830",98.7%,"124,025,697",2.493 days,6.83013698630137,"2,400,603","21,047,066","11,914,564,663"
52,Run,BTS,male group,"1,705,789",99.4%,"48,897,329",1.627 days,4.457534246575342,"2,400,603","21,047,066","11,914,564,663"
53,I need you(alternate),BTS,male group,"1,703,913",99.4%,"62,612,212",1.830 days,5.013698630136986,"2,400,603","21,047,066","11,914,564,663"
54,On(dance),BTS,male group,"1,654,570",99.5%,"20,372,569",78 days,0.2136986301369863,"2,400,603","21,047,066","11,914,564,663"
55,Young Forever,BTS,male group,"1,626,375",99.1%,"67,574,389",1.485 days,4.068493150684931,"2,400,603","21,047,066","11,914,564,663"
56,Danger,BTS,male group,"1,609,737",99.3%,"61,629,381",2.094 days,5.736986301369863,"2,400,603","21,047,066","11,914,564,663"
57,N.O.,BTS,male group,"1,544,554",99.0%,"63,138,218",2.437 days,6.676712328767123,"2,400,603","21,047,066","11,914,564,663"
58,"Blood, Sweat & Tears (jp)",BTS,male group,"1,481,246",99.2%,"41,677,980",1.100 days,3.0136986301369864,"2,400,603","21,047,066","11,914,564,663"
59,Graduation,BTS,male group,"1,382,161",99.6%,"23,905,461",2.651 days,7.263013698630137,"2,400,603","21,047,066","11,914,564,663"
60,Make it Right(alternate),BTS,male group,"1,357,678",99.6%,"9,630,650",201 days,0.5506849315068493,"2,400,603","21,047,066","11,914,564,663"
61,Spring Day(dance),BTS,male group,"1,353,841",99.5%,"11,884,968",340 days,0.9315068493150684,"2,400,603","21,047,066","11,914,564,663"
62,Dope,BTS,male group,"1,282,983",99.1%,"41,323,594",1.786 days,4.8931506849315065,"2,400,603","21,047,066","11,914,564,663"
63,N.O.,BTS,male group,"1,269,559",98.7%,"79,597,764",2.437 days,6.676712328767123,"2,400,603","21,047,066","11,914,564,663"
64,DNA(dance),BTS,male group,"1,268,802",99.2%,"41,719,148",962 days,2.6356164383561644,"2,400,603","21,047,066","11,914,564,663"
65,Blood Sweat & Tears(dance),BTS,male group,"1,230,473",99.2%,"52,038,459",1.303 days,3.56986301369863,"2,400,603","21,047,066","11,914,564,663"
66,On: come prima(dance),BTS,male group,"1,222,208",99.5%,"9,300,702",81 days,0.2219178082191781,"2,400,603","21,047,066","11,914,564,663"
67,Boy with luv(dance),BTS,male group,"1,191,779",99.4%,"17,257,327",371 days,1.0164383561643835,"2,400,603","21,047,066","11,914,564,663"
68,We Are Bulletproof pt2,BTS,male group,"1,116,925",99.3%,"43,601,467",2.493 days,6.83013698630137,"2,400,603","21,047,066","11,914,564,663"
69,Not Today(dance),BTS,male group,"1,112,537",99.2%,"26,104,941",1.172 days,3.210958904109589,"2,400,603","21,047,066","11,914,564,663"
70,21st Century Girl (Dance only)(dance),BTS,male group,"1,094,699",99.5%,"37,469,905",1.293 days,3.5424657534246577,"2,400,603","21,047,066","11,914,564,663"
71,Young Forever,BTS,male group,"1,070,442",99.7%,"20,742,547",1.485 days,4.068493150684931,"2,400,603","21,047,066","11,914,564,663"
72,Dionysus (Dance Only)(dance),BTS,male group,"978,855",99.4%,"11,939,581",374 days,1.0246575342465754,"2,400,603","21,047,066","11,914,564,663"
73,Fire(dance),BTS,male group,"977,970",99.2%,"50,263,292",1.461 days,4.002739726027397,"2,400,603","21,047,066","11,914,564,663"
74,Come Back Home,BTS,male group,"919,298",98.2%,"18,163,538",1.043 days,2.8575342465753426,"2,400,603","21,047,066","11,914,564,663"
75,War of Hormone(dance),BTS,male group,"907,926",99.3%,"35,835,394",1.805 days,4.945205479452055,"2,400,603","21,047,066","11,914,564,663"
76,War of Hormone(dance),BTS,male group,"904,001",99.2%,"29,383,401",2.018 days,5.528767123287671,"2,400,603","21,047,066","11,914,564,663"
77,Baepsae (Dance only),BTS,male group,"848,418",99.6%,"29,984,080",1.442 days,3.9506849315068493,"2,400,603","21,047,066","11,914,564,663"
78,Fire(dance),BTS,male group,"839,301",99.2%,"29,164,099",1.465 days,4.013698630136986,"2,400,603","21,047,066","11,914,564,663"
79,No More Dream(alternate),BTS,male group,"818,961",98.5%,"63,210,740",2.523 days,6.912328767123288,"2,400,603","21,047,066","11,914,564,663"
80,Boy in Luv,BTS,male group,"798,937",99.3%,"22,802,631",2.283 days,6.254794520547946,"2,400,603","21,047,066","11,914,564,663"
81,I need U(dance),BTS,male group,"776,304",99.4%,"41,138,476",1.837 days,5.032876712328767,"2,400,603","21,047,066","11,914,564,663"
82,I like it pt2 (dance only)(dance),BTS,male group,"759,578",99.6%,"19,573,010",1.071 days,2.9342465753424656,"2,400,603","21,047,066","11,914,564,663"
83,Just One Day,BTS,male group,"743,885",99.5%,"24,652,018",2.229 days,6.1068493150684935,"2,400,603","21,047,066","11,914,564,663"
84,Boy in Luv(dance),BTS,male group,"731,236",99.4%,"40,362,209",2.278 days,6.241095890410959,"2,400,603","21,047,066","11,914,564,663"
85,Spring Day(dance),BTS,male group,"727,522",99.5%,"21,224,469",1.167 days,3.197260273972603,"2,400,603","21,047,066","11,914,564,663"
86,Dionysus (Dance only)(dance),BTS,male group,"724,759",99.5%,"8,497,211",131 days,0.3589041095890411,"2,400,603","21,047,066","11,914,564,663"
87,MIC Drop (jp),BTS,male group,"714,835",98.6%,"21,501,846",890 days,2.4383561643835616,"2,400,603","21,047,066","11,914,564,663"
88,Not Today(dance),BTS,male group,"676,648",99.5%,"16,687,716",1.072 days,2.936986301369863,"2,400,603","21,047,066","11,914,564,663"
89,Danger(dance),BTS,male group,"591,586",99.4%,"36,907,063",2.089 days,5.723287671232876,"2,400,603","21,047,066","11,914,564,663"
90,War of Hormone,BTS,male group,"576,714",99.6%,"12,244,331",2.031 days,5.564383561643836,"2,400,603","21,047,066","11,914,564,663"
91,Beautiful,BTS,male group,"548,170",99.3%,"11,884,443",2.416 days,6.619178082191781,"2,400,603","21,047,066","11,914,564,663"
92,Run(dance),BTS,male group,"516,346",99.5%,"22,137,680",1.617 days,4.4301369863013695,"2,400,603","21,047,066","11,914,564,663"
